category,subcategory,skill_name,level,weighted_score,description,evidence_examples,developer_type
기본 문법 및 제어 구조,변수 및 데이터 타입,변수 선언 및 할당,Basic,4,기본 변수 선언만 존재,기본 변수 선언만 존재,All
기본 문법 및 제어 구조,변수 및 데이터 타입,변수 선언 및 할당,Intermediate,18,타입 힌트 사용 + 불변성 고려,타입 힌트 사용 + 불변성 고려,All
기본 문법 및 제어 구조,변수 및 데이터 타입,변수 선언 및 할당,Advanced,48,Generic 타입 + Protocol 활용,Generic 타입 + Protocol 활용,All
기본 문법 및 제어 구조,변수 및 데이터 타입,데이터 타입 이해,Basic,4,"int, str, list 등 기본 타입만"
기본 문법 및 제어 구조,변수 및 데이터 타입,데이터 타입 이해,Intermediate,20,"Union, Optional, Literal 사용"
기본 문법 및 제어 구조,변수 및 데이터 타입,데이터 타입 이해,Advanced,,60,"TypeVar, Generic 커스텀 타입 구현","TypeVar
기본 문법 및 제어 구조,변수 및 데이터 타입,타입 체킹,Intermediate,25,mypy 기본 설정 + 주요 함수에 타입 힌트,mypy 기본 설정 + 주요 함수에 타입 힌트,All
기본 문법 및 제어 구조,변수 및 데이터 타입,타입 체킹,Advanced,72,strict 모드 + 복잡한 제네릭 타입 정의,strict 모드 + 복잡한 제네릭 타입 정의,All
기본 문법 및 제어 구조,조건문 및 반복문,if-else 조건문,Basic,3,단순 if-else만,단순 if-else만,All
기본 문법 및 제어 구조,조건문 및 반복문,if-else 조건문,Intermediate,15,elif 체인 + 조기 반환 패턴,elif 체인 + 조기 반환 패턴,All
기본 문법 및 제어 구조,조건문 및 반복문,if-else 조건문,Advanced,48,match-case (3.10+) + 가드 조건,match-case (3.10+) + 가드 조건,All
기본 문법 및 제어 구조,조건문 및 반복문,for/while 루프,Basic,3,기본 for/while만,기본 for/while만,All
기본 문법 및 제어 구조,조건문 및 반복문,for/while 루프,Intermediate,,18,"enumerate, zip 활용 + break/continue","enumerate
기본 문법 및 제어 구조,조건문 및 반복문,for/while 루프,Advanced,56,itertools 조합 + 제너레이터 체인,itertools 조합 + 제너레이터 체인,All
기본 문법 및 제어 구조,조건문 및 반복문,리스트 컴프리헨션,Basic,6,단순 변환만 `[x*2 for x in lst]`,단순 변환만 `[x*2 for x in lst]`,All
기본 문법 및 제어 구조,조건문 및 반복문,리스트 컴프리헨션,Intermediate,25,조건 필터 + 중첩 컴프리헨션,조건 필터 + 중첩 컴프리헨션,All
기본 문법 및 제어 구조,조건문 및 반복문,리스트 컴프리헨션,Advanced,64,walrus 연산자 + 복잡한 다중 조건,walrus 연산자 + 복잡한 다중 조건,All
기본 문법 및 제어 구조,조건문 및 반복문,딕셔너리 컴프리헨션,Basic,6,기본 변환만,기본 변환만,All
기본 문법 및 제어 구조,조건문 및 반복문,딕셔너리 컴프리헨션,Intermediate,25,조건부 딕셔너리 생성,조건부 딕셔너리 생성,All
기본 문법 및 제어 구조,조건문 및 반복문,딕셔너리 컴프리헨션,Advanced,60,defaultdict와 결합 + 동적 키 생성,defaultdict와 결합 + 동적 키 생성,All
기본 문법 및 제어 구조,조건문 및 반복문,제너레이터 표현식,Intermediate,30,기본 제너레이터 표현식 사용,기본 제너레이터 표현식 사용,All
기본 문법 및 제어 구조,조건문 및 반복문,제너레이터 표현식,Advanced,72,제너레이터 파이프라인 + 메모리 최적화,제너레이터 파이프라인 + 메모리 최적화,All
기본 문법 및 제어 구조,함수 및 람다,함수 정의,Basic,4,기본 함수 정의만,기본 함수 정의만,All
기본 문법 및 제어 구조,함수 및 람다,함수 정의,Intermediate,20,타입 힌트 + docstring,타입 힌트 + docstring,All
기본 문법 및 제어 구조,함수 및 람다,함수 정의,Advanced,60,오버로드 + ParamSpec 활용,오버로드 + ParamSpec 활용,All
기본 문법 및 제어 구조,함수 및 람다,람다 함수,Basic,6,단순 람다만 `lambda x: x*2`,단순 람다만 `lambda x: x*2`,All
기본 문법 및 제어 구조,함수 및 람다,람다 함수,Intermediate,25,sorted/filter 키 함수로 활용,sorted/filter 키 함수로 활용,All
기본 문법 및 제어 구조,함수 및 람다,람다 함수,Advanced,64,클로저와 결합 + functools 조합,클로저와 결합 + functools 조합,All
기본 문법 및 제어 구조,함수 및 람다,"args, **kwargs",,10,25,기본 가변 인자 사용,기본 가변 인자 사용
기본 문법 및 제어 구조,함수 및 람다,"args, **kwargs",,17,68,동적 함수 생성 + 데코레이터에서 활용,동적 함수 생성 + 데코레이터에서 활용
기본 문법 및 제어 구조,함수 및 람다,고차 함수,Intermediate,30,"map, filter, reduce 활용"
기본 문법 및 제어 구조,함수 및 람다,고차 함수,Advanced,72,커스텀 고차 함수 구현 + 함수 합성,커스텀 고차 함수 구현 + 함수 합성,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,데코레이터 사용,Basic,,8,"`@staticmethod`, `@property` 사용","`@staticmethod`
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,데코레이터 사용,Intermediate,30,커스텀 데코레이터 1-2개 작성,커스텀 데코레이터 1-2개 작성,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,데코레이터 사용,Advanced,80,파라미터화 데코레이터 + 클래스 데코레이터,파라미터화 데코레이터 + 클래스 데코레이터,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,컨텍스트 매니저,Basic,6,`with open()` 기본 사용,`with open()` 기본 사용,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,컨텍스트 매니저,Intermediate,25,contextlib.contextmanager 활용,contextlib.contextmanager 활용,All
기본 문법 및 제어 구조,데코레이터 및 컨텍스트 매니저,컨텍스트 매니저,Advanced,72,`__enter__/__exit__` 커스텀 구현 + 비동기 컨텍스트,`__enter__/__exit__` 커스텀 구현 + 비동기 컨텍스트,All
객체지향 프로그래밍 (OOP),클래스 기초,클래스 정의,Basic,8,기본 클래스 정의만,기본 클래스 정의만,All
객체지향 프로그래밍 (OOP),클래스 기초,클래스 정의,Intermediate,25,`__init__` + 여러 메서드 구현,`__init__` + 여러 메서드 구현,All
객체지향 프로그래밍 (OOP),클래스 기초,클래스 정의,Advanced,64,`__slots__` + 메모리 최적화,`__slots__` + 메모리 최적화,All
객체지향 프로그래밍 (OOP),클래스 기초,인스턴스 vs 클래스 변수,Basic,6,변수 선언만,변수 선언만,All
객체지향 프로그래밍 (OOP),클래스 기초,인스턴스 vs 클래스 변수,Intermediate,28,적절한 변수 분리 + `@classmethod`,적절한 변수 분리 + `@classmethod`,All
객체지향 프로그래밍 (OOP),클래스 기초,인스턴스 vs 클래스 변수,Advanced,68,디스크립터 + `__set_name__` 활용,디스크립터 + `__set_name__` 활용,All
객체지향 프로그래밍 (OOP),클래스 기초,메서드 구현,Basic,6,단순 메서드 1-2개,단순 메서드 1-2개,All
객체지향 프로그래밍 (OOP),클래스 기초,메서드 구현,Intermediate,25,public/private 구분 + 메서드 체이닝,public/private 구분 + 메서드 체이닝,All
객체지향 프로그래밍 (OOP),클래스 기초,메서드 구현,Advanced,,64,"`@staticmethod`, `@classmethod` 적재적소 활용","`@staticmethod`
객체지향 프로그래밍 (OOP),상속 및 다형성,상속,Basic,9,단순 상속만 `class Child(Parent):`,단순 상속만 `class Child(Parent):`,All
객체지향 프로그래밍 (OOP),상속 및 다형성,상속,Intermediate,32,`super()` 활용 + 메서드 오버라이딩,`super()` 활용 + 메서드 오버라이딩,All
객체지향 프로그래밍 (OOP),상속 및 다형성,상속,Advanced,76,MRO 이해 + 다중 상속 설계,MRO 이해 + 다중 상속 설계,All
객체지향 프로그래밍 (OOP),상속 및 다형성,추상 클래스,Intermediate,35,ABC + `@abstractmethod` 2-3개,ABC + `@abstractmethod` 2-3개,All
객체지향 프로그래밍 (OOP),상속 및 다형성,추상 클래스,Advanced,80,추상 프로퍼티 + 템플릿 메서드 패턴,추상 프로퍼티 + 템플릿 메서드 패턴,All
객체지향 프로그래밍 (OOP),상속 및 다형성,프로토콜 (Protocol),Advanced,72,typing.Protocol 정의 + 구조적 서브타이핑,typing.Protocol 정의 + 구조적 서브타이핑,All
객체지향 프로그래밍 (OOP),고급 OOP,매직 메서드,Basic,,8,"`__str__`, `__repr__` 1-2개만","`__str__`
객체지향 프로그래밍 (OOP),고급 OOP,매직 메서드,Intermediate,35,"`__eq__`, `__hash__`, `__lt__` 구현"
